2019-04-12T09:39:12,437 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.3 | Starting bundles:
2019-04-12T09:39:12,437 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.3 |   org.onosproject.onos-kpn-apps-aggregator/2.1.0.SNAPSHOT
2019-04-12T09:39:12,533 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing WRITE on device:bmv2:s1: UNKNOWN
2019-04-12T09:39:12,555 | WARN  | grpc-default-executor-2 | WriteResponseImpl                | 234 - org.onosproject.onos-protocols-p4runtime-ctl - 2.1.0.SNAPSHOT | Unable to INSERT PRE multicast group entry on device:bmv2:s1: OTHER_ERROR OUT_OF_RANGE Group id value is too high (ALL-sswitch-p4org:0) [PiMulticastGroupEntry{groupId=0x7327f54d, replicas=[[s1-eth2](2):0x1, [s1-eth4](4):0x1, [s1-eth3](3):0x1]}]
2019-04-12T09:39:12,587 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing WRITE on device:bmv2:s1: UNKNOWN
2019-04-12T09:39:12,593 | WARN  | grpc-default-executor-2 | WriteResponseImpl                | 234 - org.onosproject.onos-protocols-p4runtime-ctl - 2.1.0.SNAPSHOT | Unable to DELETE PRE multicast group entry on device:bmv2:s1: OTHER_ERROR OUT_OF_RANGE Group id value is too high (ALL-sswitch-p4org:0) [PiMulticastGroupEntry{groupId=0x7327f54d, replicas=[[s1-eth2](2):0x1, [s1-eth4](4):0x1, [s1-eth3](3):0x1]}]
2019-04-12T09:39:12,602 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing WRITE on device:bmv2:s1: UNKNOWN
2019-04-12T09:39:12,603 | WARN  | grpc-default-executor-2 | WriteResponseImpl                | 234 - org.onosproject.onos-protocols-p4runtime-ctl - 2.1.0.SNAPSHOT | Unable to INSERT PRE multicast group entry on device:bmv2:s1: OTHER_ERROR OUT_OF_RANGE Group id value is too high (ALL-sswitch-p4org:0) [PiMulticastGroupEntry{groupId=0x7327f54d, replicas=[[s1-eth2](2):0x1, [s1-eth4](4):0x1, [s1-eth3](3):0x1]}]
2019-04-12T09:39:12,606 | INFO  | features-3-thread-1 | Aggregator                       | 243 - org.onosproject.onos-kpn-apps-aggregator - 2.1.0.SNAPSHOT | Started
2019-04-12T09:39:12,606 | INFO  | features-3-thread-1 | CommandExtension                 | 51 - org.apache.karaf.shell.core - 4.2.3 | Registering commands for bundle org.onosproject.onos-kpn-apps-aggregator/2.1.0.SNAPSHOT
2019-04-12T09:39:12,607 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.3 | Done.
2019-04-12T09:39:12,613 | INFO  | onos-store-app-app-activation | ApplicationManager               | 189 - org.onosproject.onos-core-net - 2.1.0.SNAPSHOT | Application org.onosproject.aggregator has been activated
2019-04-12T09:39:12,627 | WARN  | onos-flowservice-device-installer-6 | P4RuntimeFlowRuleProgrammable    | 223 - org.onosproject.onos-protocols-grpc-utils - 2.1.0.SNAPSHOT | Unable to translate flow rule for pipeconf 'org.onosproject.pipelines.basic': Interpreter was unable to translate treatment. Instruction type 'GROUP' not supported [DefaultFlowRule{id=c100002e98ca9e, deviceId=device:bmv2:s1, priority=50000, selector=[IN_PORT:1], treatment=DefaultTrafficTreatment{immediate=[GROUP:0x7327f54d], deferred=[], transition=None, meter=[], cleared=false, StatTrigger=null, metadata=null}, tableId=ingress.table0_control.table0, created=1555061952606}]
2019-04-12T09:39:19,809 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing READ on device:bmv2:s1: UNIMPLEMENTED: Reading default entry not supported yet
2019-04-12T09:39:19,827 | WARN  | FlowRuleDriverProvider-0 | P4RuntimeFlowRuleProgrammable    | 223 - org.onosproject.onos-protocols-grpc-utils - 2.1.0.SNAPSHOT | Unable to translate flow rule for pipeconf 'org.onosproject.pipelines.basic': Interpreter was unable to translate treatment. Instruction type 'GROUP' not supported [DefaultFlowEntry{rule=DefaultFlowEntry{id=c100002e98ca9e, deviceId=device:bmv2:s1, priority=50000, selector=[IN_PORT:1], treatment=DefaultTrafficTreatment{immediate=[GROUP:0x7327f54d], deferred=[], transition=None, meter=[], cleared=false, StatTrigger=null, metadata=null}, tableId=ingress.table0_control.table0, created=1555061952616}, state=PENDING_ADD, life=0, liveType=UNKNOWN, packets=0, bytes=0, errCode=-1, errType=-1, lastSeen=1555061952616}]
2019-04-12T09:39:19,900 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing WRITE on device:bmv2:s1: UNKNOWN
2019-04-12T09:39:19,902 | WARN  | grpc-default-executor-2 | WriteResponseImpl                | 234 - org.onosproject.onos-protocols-p4runtime-ctl - 2.1.0.SNAPSHOT | Unable to INSERT PRE multicast group entry on device:bmv2:s1: OTHER_ERROR OUT_OF_RANGE Group id value is too high (ALL-sswitch-p4org:0) [PiMulticastGroupEntry{groupId=0x7327f54d, replicas=[[s1-eth2](2):0x1, [s1-eth4](4):0x1, [s1-eth3](3):0x1]}]
2019-04-12T09:39:19,906 | WARN  | grpc-default-executor-2 | P4RuntimeClientImpl              | 222 - org.onosproject.onos-protocols-grpc-ctl - 2.1.0.SNAPSHOT | Error while performing WRITE on device:bmv2:s1: UNKNOWN
